facility_id,measure_id,measure_name,score,footnote,start_date,end_date
010001,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
010005,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
010006,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010007,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010008,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.07,,2023-01-01,2023-12-31
010011,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010012,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,2023-01-01,2023-12-31
010016,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
010019,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.11,,2023-01-01,2023-12-31
010021,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.08,,2023-01-01,2023-12-31
010022,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.12,,2023-01-01,2023-12-31
010023,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
010024,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
010029,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
010033,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
010034,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,,2023-01-01,2023-12-31
010035,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
010036,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
010039,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010040,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
010044,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
010045,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
010046,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
010049,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
010052,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
010055,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
010056,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
010058,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,2023-01-01,2023-12-31
010059,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
010061,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010062,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
010065,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,2023-01-01,2023-12-31
010073,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,2023-01-01,2023-12-31
010078,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.07,,2023-01-01,2023-12-31
010079,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.07,,2023-01-01,2023-12-31
010083,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
010085,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
010086,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
010087,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
010089,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
010090,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
010092,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
010095,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
010097,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.83,,2023-01-01,2023-12-31
010099,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
010100,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
010101,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010103,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
010104,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010108,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
010112,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,2023-01-01,2023-12-31
010113,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
010114,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,2023-01-01,2023-12-31
010118,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
010120,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010125,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
010126,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
010128,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
010129,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,,2023-01-01,2023-12-31
010130,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
010131,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
010139,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.07,,2023-01-01,2023-12-31
010144,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
010148,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.87,,2023-01-01,2023-12-31
010149,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
010150,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
010157,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
010158,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.08,,2023-01-01,2023-12-31
010164,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
010168,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
010169,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
010173,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.84,,2023-01-01,2023-12-31
020001,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
020006,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.84,,2023-01-01,2023-12-31
020008,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
020012,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.83,,2023-01-01,2023-12-31
020017,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
020018,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.74,,2023-01-01,2023-12-31
020024,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.85,,2023-01-01,2023-12-31
020026,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
030002,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030006,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,2023-01-01,2023-12-31
030007,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
030010,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,2023-01-01,2023-12-31
030011,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
030012,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
030013,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
030014,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
030016,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,2023-01-01,2023-12-31
030022,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.1,,2023-01-01,2023-12-31
030023,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.07,,2023-01-01,2023-12-31
030024,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,2023-01-01,2023-12-31
030030,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030036,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,2023-01-01,2023-12-31
030037,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.09,,2023-01-01,2023-12-31
030038,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
030043,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030055,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.85,,2023-01-01,2023-12-31
030061,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
030062,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.9,,2023-01-01,2023-12-31
030064,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
030065,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,2023-01-01,2023-12-31
030069,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,2023-01-01,2023-12-31
030071,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.86,,2023-01-01,2023-12-31
030073,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.79,,2023-01-01,2023-12-31
030078,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.81,,2023-01-01,2023-12-31
030083,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
030084,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.65,,2023-01-01,2023-12-31
030085,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
030087,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
030088,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030089,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,2023-01-01,2023-12-31
030092,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030093,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
030094,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,2023-01-01,2023-12-31
030101,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,2023-01-01,2023-12-31
030103,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
030105,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,2023-01-01,2023-12-31
030107,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.81,,2023-01-01,2023-12-31
030108,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
030110,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,2023-01-01,2023-12-31
030111,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,2023-01-01,2023-12-31
030112,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,2023-01-01,2023-12-31
030113,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.62,,2023-01-01,2023-12-31
030114,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
030115,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,2023-01-01,2023-12-31
030117,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.83,,2023-01-01,2023-12-31
030119,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030121,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,2023-01-01,2023-12-31
030122,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,2023-01-01,2023-12-31
030123,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,2023-01-01,2023-12-31
030130,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
030134,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.81,,2023-01-01,2023-12-31
030136,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,2023-01-01,2023-12-31
030138,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,2023-01-01,2023-12-31
030139,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,2023-01-01,2023-12-31
030146,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,2023-01-01,2023-12-31
030147,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
030148,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,2023-01-01,2023-12-31
030154,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,,2023-01-01,2023-12-31
040001,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,2023-01-01,2023-12-31
040002,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,2023-01-01,2023-12-31
040004,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,2023-01-01,2023-12-31
040007,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,2023-01-01,2023-12-31
040010,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.0,,2023-01-01,2023-12-31
