facility_id,measure_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,start_date,end_date
010001,READM-30-AMI-HRRP,0.9483,13.0146,13.7235,296.0,36.0,2020-07-01,2023-06-30
010001,READM-30-CABG-HRRP,0.9509,9.6899,10.1898,151.0,13.0,2020-07-01,2023-06-30
010001,READM-30-HF-HRRP,1.0597,21.5645,20.3495,681.0,151.0,2020-07-01,2023-06-30
010001,READM-30-HIP-KNEE-HRRP,0.9654,4.268,4.4211,,,2020-07-01,2023-06-30
010001,READM-30-PN-HRRP,0.9715,16.1137,16.5863,490.0,77.0,2020-07-01,2023-06-30
010001,READM-30-COPD-HRRP,0.933,15.4544,16.5637,130.0,16.0,2020-07-01,2023-06-30
010005,READM-30-HIP-KNEE-HRRP,0.8497,4.2346,4.9836,,,2020-07-01,2023-06-30
010005,READM-30-HF-HRRP,0.9935,20.1511,20.2835,176.0,35.0,2020-07-01,2023-06-30
010005,READM-30-PN-HRRP,0.8495,13.3621,15.7296,305.0,30.0,2020-07-01,2023-06-30
010005,READM-30-COPD-HRRP,0.8696,15.5737,17.909,144.0,14.0,2020-07-01,2023-06-30
010006,READM-30-COPD-HRRP,0.9463,17.788,18.7982,154.0,24.0,2020-07-01,2023-06-30
010006,READM-30-HF-HRRP,0.9666,19.1704,19.8318,508.0,95.0,2020-07-01,2023-06-30
010006,READM-30-AMI-HRRP,0.9704,11.875,12.2373,315.0,36.0,2020-07-01,2023-06-30
010006,READM-30-CABG-HRRP,1.0846,12.3902,11.4233,91.0,14.0,2020-07-01,2023-06-30
010006,READM-30-PN-HRRP,1.0112,16.7862,16.6008,621.0,105.0,2020-07-01,2023-06-30
010006,READM-30-HIP-KNEE-HRRP,0.9762,4.7872,4.9039,,,2020-07-01,2023-06-30
010007,READM-30-COPD-HRRP,1.0277,17.8169,17.3362,,,2020-07-01,2023-06-30
010007,READM-30-HF-HRRP,1.0674,21.0944,19.7621,35.0,12.0,2020-07-01,2023-06-30
010007,READM-30-HIP-KNEE-HRRP,0.9695,4.2361,4.3694,,,2020-07-01,2023-06-30
010007,READM-30-PN-HRRP,1.0488,16.2187,15.4636,85.0,17.0,2020-07-01,2023-06-30
010011,READM-30-COPD-HRRP,1.012,17.7252,17.5152,58.0,11.0,2020-07-01,2023-06-30
010011,READM-30-AMI-HRRP,0.9675,11.8541,12.2521,148.0,16.0,2020-07-01,2023-06-30
010011,READM-30-HIP-KNEE-HRRP,0.9541,5.0175,5.2587,,,2020-07-01,2023-06-30
010011,READM-30-PN-HRRP,1.0589,17.1812,16.2255,344.0,63.0,2020-07-01,2023-06-30
010011,READM-30-HF-HRRP,1.0439,20.3295,19.474,295.0,63.0,2020-07-01,2023-06-30
010011,READM-30-CABG-HRRP,1.1146,11.9953,10.7622,70.0,12.0,2020-07-01,2023-06-30
010012,READM-30-HIP-KNEE-HRRP,0.9055,3.5711,3.9437,,,2020-07-01,2023-06-30
010012,READM-30-HF-HRRP,1.0505,19.7116,18.7646,84.0,20.0,2020-07-01,2023-06-30
010012,READM-30-PN-HRRP,0.9685,13.8098,14.2595,160.0,20.0,2020-07-01,2023-06-30
010012,READM-30-COPD-HRRP,1.0044,13.3991,13.3406,,,2020-07-01,2023-06-30
010012,READM-30-AMI-HRRP,1.0125,11.2791,11.1395,,,2020-07-01,2023-06-30
010016,READM-30-PN-HRRP,1.0434,17.3446,16.6237,214.0,40.0,2020-07-01,2023-06-30
010016,READM-30-CABG-HRRP,1.0792,12.1319,11.2418,,,2020-07-01,2023-06-30
010016,READM-30-COPD-HRRP,0.9794,19.4001,19.808,,,2020-07-01,2023-06-30
010016,READM-30-HIP-KNEE-HRRP,1.1477,5.9146,5.1535,,,2020-07-01,2023-06-30
010016,READM-30-HF-HRRP,1.0005,20.5099,20.5005,229.0,47.0,2020-07-01,2023-06-30
